order,n_tuples,sampled,independent_rmse,independent_r,pairwise_rmse,pairwise_r,variance_explained,max_abs_dev,frac_inside_ci
3,455,False,0.07959437668235714,0.8985194979710441,0.0012776482555942748,0.9998465870959277,0.9996833901453092,0.006308413935681836,0.9076923076923077
4,1365,False,0.0640374899200092,0.873054935291594,0.001624176535806231,0.999517141080002,0.9990345142175412,0.0071592208353318115,0.8058608058608059
5,3003,False,0.047748571962206054,0.8614194906175938,0.0017240560179949595,0.999038853997672,0.9979880166552629,0.00816191895142293,0.7432567432567433
6,5005,False,0.03499487788771639,0.8557715026130314,0.0016800329033396521,0.9984534727191479,0.9963541123498509,0.00814289061873913,0.7026973026973027
7,6435,False,0.025905233251009897,0.849126839664149,0.001556551751558159,0.9976975896820691,0.9939084945623669,0.008122829404924065,0.6705516705516705
8,6435,False,0.01966575337684855,0.8358631233965582,0.0014143936809837441,0.9963405228115925,0.990299181015651,0.008093496151619334,0.6355866355866356
9,5005,False,0.015443541539037112,0.8120697845268586,0.0013013274108915813,0.9933741213459282,0.9846191606705903,0.007836878732914276,0.59000999000999
10,3003,False,0.012596264041653319,0.775054048474565,0.0012441556490440284,0.9873801431831768,0.9744321399668548,0.006133883656686247,0.5298035298035298
11,1365,False,0.010674836878962483,0.7212543117395193,0.001247088882168802,0.9772731558388524,0.9537600627781931,0.004319889164922708,0.45567765567765567
12,455,False,0.009376413140556957,0.6407141928973082,0.0012984526070994964,0.9636978316293234,0.907986282481293,0.003046670060711923,0.3648351648351648
13,105,False,0.008499853403466593,0.49663104254929397,0.00138154466996483,0.9524094612591081,0.7946903059305777,0.0019155057201416352,0.2571428571428571
14,15,False,0.007913790256261807,0.033152922958839606,0.0014817469643111467,0.9772759447556211,0.41155686670606184,0.0016568263932809583,0.13333333333333333
15,1,False,0.007532997979993714,,0.001588747056750074,,,0.001588747056750074,0.0
